Screen,Section,Exact UI label,Angular component,Control/property,Visibility condition,Editable/read-only,Required/optional,Unit,Permission,HTTP endpoint,API field,Backend schema,Service,Model,Table,Column,Source type,Validation,Stale effect,Guide link
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,[display:surface-card readiness-section],direct-emissions-allocation/direct-emissions-allocation.component.html,"class=""surface-card readiness-section""",conditional-css,read-only,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,[display:readiness-status],direct-emissions-allocation/direct-emissions-allocation.component.html,"class=""readiness-status""",conditional-css,read-only,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,[display:status-text],direct-emissions-allocation/direct-emissions-allocation.component.html,"class=""status-text""",conditional-css,read-only,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,[display:readiness-message],direct-emissions-allocation/direct-emissions-allocation.component.html,"class=""readiness-message""",conditional-css,read-only,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,[display:readonly-grid readiness-grid],direct-emissions-allocation/direct-emissions-allocation.component.html,"class=""readonly-grid readiness-grid""",conditional-css,read-only,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
direct-emissions-allocation,direct-emissions-allocation/direct-emissions-allocation.component.html,[display:detail-status status-text],direct-emissions-allocation/direct-emissions-allocation.component.html,"class=""detail-status status-text""",conditional-css,read-only,n/a,—,cbam:view,POST …/direct-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamDirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,created,indirect-emissions-allocation/indirect-emissions-allocation.component.html,table-column:created,when-rows,read-only-display,n/a,datetime,cbam:view,n/a-ui-only,created,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,created,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,status,indirect-emissions-allocation/indirect-emissions-allocation.component.html,table-column:status,when-rows,read-only-display,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,status,CbamIndirectEmissionsAllocationResult ORM / API DTO,CbamIndirectEmissionsAllocationService,CbamIndirectEmissionsAllocationResult,cbam_indirect_emissions_allocation_results,status,DERIVED_STATUS,server-authoritative,none-or-row-version-conflict,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,cbam,indirect-emissions-allocation/indirect-emissions-allocation.component.html,table-column:cbam,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,cbam,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,cbam,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,allocated,indirect-emissions-allocation/indirect-emissions-allocation.component.html,table-column:allocated,when-rows,read-only-display,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,allocated,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,allocated,NOT_PERSISTED,no-matching-column,stale-until-recalculate-or-new-execution,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,balance,indirect-emissions-allocation/indirect-emissions-allocation.component.html,table-column:balance,when-rows,read-only-display,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,balance,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,balance,NOT_PERSISTED,no-matching-column,may-reflect-stale-upstream,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,actions,indirect-emissions-allocation/indirect-emissions-allocation.component.html,table-column:actions,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,actions,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,actions,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,[display:surface-card readiness-section],indirect-emissions-allocation/indirect-emissions-allocation.component.html,"class=""surface-card readiness-section""",conditional-css,read-only,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,[display:readiness-status],indirect-emissions-allocation/indirect-emissions-allocation.component.html,"class=""readiness-status""",conditional-css,read-only,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,[display:status-text],indirect-emissions-allocation/indirect-emissions-allocation.component.html,"class=""status-text""",conditional-css,read-only,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,[display:readiness-message],indirect-emissions-allocation/indirect-emissions-allocation.component.html,"class=""readiness-message""",conditional-css,read-only,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,[display:readonly-grid readiness-grid],indirect-emissions-allocation/indirect-emissions-allocation.component.html,"class=""readonly-grid readiness-grid""",conditional-css,read-only,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
indirect-emissions-allocation,indirect-emissions-allocation/indirect-emissions-allocation.component.html,[display:detail-status status-text],indirect-emissions-allocation/indirect-emissions-allocation.component.html,"class=""detail-status status-text""",conditional-css,read-only,n/a,—,cbam:view,POST …/indirect-emissions-allocation/executions; GET readiness|summary|results,—,n/a,CbamIndirectEmissionsAllocationService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/12-*.md
installation-detail.component,installation-detail.component.html,Name,installation-detail.component.html,formControlName=name,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,GET|PATCH …/installations/{id}; POST …/activate|archive,name,InstallationUpdate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,name,USER_INPUT,required,none-or-row-version-conflict,user-guide/README.md
installation-detail.component,installation-detail.component.html,Timezone,installation-detail.component.html,formControlName=timezone,template-present,editable-if-configure,optional/unknown,IANA tz,cbam:configure for writes / cbam:view for reads,GET|PATCH …/installations/{id}; POST …/activate|archive,timezone,InstallationUpdate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,timezone,USER_INPUT,required,none-or-row-version-conflict,user-guide/README.md
installation-detail.component,installation-detail.component.html,Operator ID,installation-detail.component.html,formControlName=operatorIdentityRef,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,GET|PATCH …/installations/{id}; POST …/activate|archive,operatorIdentityRef,InstallationUpdate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,operator_identity_ref,USER_INPUT,optional,none-or-row-version-conflict,user-guide/README.md
installation-detail.component,installation-detail.component.html,Name,installation-detail.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-detail.component,installation-detail.component.html,Timezone,installation-detail.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-detail.component,installation-detail.component.html,Operator ID,installation-detail.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Facility,installation-form.component.html,formControlName=facilityId,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,POST …/installations,facilityId,InstallationCreate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,facility_id,USER_INPUT,required FK,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Code,installation-form.component.html,formControlName=code,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,POST …/installations,code,InstallationCreate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,code,USER_INPUT,required; unique per organization,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Name,installation-form.component.html,formControlName=name,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,POST …/installations,name,InstallationCreate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,name,USER_INPUT,required,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Timezone,installation-form.component.html,formControlName=timezone,template-present,editable-if-configure,optional/unknown,IANA tz,cbam:configure for writes / cbam:view for reads,POST …/installations,timezone,InstallationCreate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,timezone,USER_INPUT,required,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Operator ID (optional),installation-form.component.html,formControlName=operatorIdentityRef,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,POST …/installations,operatorIdentityRef,InstallationCreate,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,operator_identity_ref,USER_INPUT,optional,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Facility,installation-form.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Code,installation-form.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Name,installation-form.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Timezone,installation-form.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-form.component,installation-form.component.html,Operator ID (optional),installation-form.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,Search,installation-list.component.html,formControlName=search,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,n/a-ui-only,search,n/a,CbamInstallationService,—,NOT_PERSISTED,search,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,Status,installation-list.component.html,formControlName=status,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,GET …/installations,status,CbamInstallationProfile ORM / API DTO,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,status,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,code,installation-list.component.html,table-column:code,when-rows,read-only-display,n/a,—,cbam:view,GET …/installations,code,CbamInstallationProfile ORM / API DTO,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,code,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,name,installation-list.component.html,table-column:name,when-rows,read-only-display,n/a,—,cbam:view,GET …/installations,name,CbamInstallationProfile ORM / API DTO,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,name,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,status,installation-list.component.html,table-column:status,when-rows,read-only-display,n/a,—,cbam:view,GET …/installations,status,CbamInstallationProfile ORM / API DTO,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,status,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,timezone,installation-list.component.html,table-column:timezone,when-rows,read-only-display,n/a,—,cbam:view,GET …/installations,timezone,CbamInstallationProfile ORM / API DTO,CbamInstallationService,CbamInstallationProfile,cbam_installation_profiles,timezone,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,actions,installation-list.component.html,table-column:actions,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,actions,n/a,CbamInstallationService,—,NOT_PERSISTED,actions,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,Search,installation-list.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
installation-list.component,installation-list.component.html,Status,installation-list.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamInstallationService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/README.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,Total production,monthly-allocation-data/monthly-allocation-data.component.html,formControlName=totalProductionQuantity,template-present,editable-if-configure,optional/unknown,t,cbam:configure for writes / cbam:view for reads,GET|POST|PATCH|DELETE …/monthly-production-basis,totalProductionQuantity,MonthlyProductionBasisUpsert,CbamMonthlyProductionBasisService,CbamMonthlyProductionBasis,cbam_monthly_production_basis,total_production_quantity,USER_INPUT,required > 0,none-or-row-version-conflict,user-guide/05-*.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,Amount sent to the importer,monthly-allocation-data/monthly-allocation-data.component.html,formControlName=cbamQuantity,template-present,editable-if-configure,optional/unknown,t,cbam:configure for writes / cbam:view for reads,GET|POST|PATCH|DELETE …/monthly-production-basis,cbamQuantity,MonthlyProductionBasisUpsert,CbamMonthlyProductionBasisService,CbamMonthlyProductionBasis,cbam_monthly_production_basis,cbam_quantity,USER_INPUT,required >= 0; <= total,none-or-row-version-conflict,user-guide/05-*.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,Unit,monthly-allocation-data/monthly-allocation-data.component.html,formControlName=quantityUnit,template-present,editable-if-configure,optional/unknown,t,cbam:configure for writes / cbam:view for reads,GET|POST|PATCH|DELETE …/monthly-production-basis,quantityUnit,CbamMonthlyProductionBasis ORM / API DTO,CbamMonthlyProductionBasisService,CbamMonthlyProductionBasis,cbam_monthly_production_basis,quantity_unit,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/05-*.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,Total production,monthly-allocation-data/monthly-allocation-data.component.html,mat-label,template-present,label,n/a,t,cbam:view,n/a-ui-only,—,n/a,CbamMonthlyProductionBasisService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/05-*.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,Amount sent to the importer,monthly-allocation-data/monthly-allocation-data.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamMonthlyProductionBasisService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/05-*.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,Unit,monthly-allocation-data/monthly-allocation-data.component.html,mat-label,template-present,label,n/a,—,cbam:view,n/a-ui-only,—,n/a,CbamMonthlyProductionBasisService,—,NOT_PERSISTED,UI_ONLY,NOT_PERSISTED,n/a-display-or-derived,none-or-row-version-conflict,user-guide/05-*.md
monthly-allocation-data,monthly-allocation-data/monthly-allocation-data.component.html,[display:status-text],monthly-allocation-data/monthly-allocation-data.component.html,"class=""status-text""",conditional-css,read-only,n/a,—,cbam:view,GET|POST|PATCH|DELETE …/monthly-production-basis,—,n/a,CbamMonthlyProductionBasisService,—,NOT_PERSISTED,UI_STATUS,NOT_PERSISTED,n/a-display-or-derived,may reflect stale,user-guide/05-*.md
official-see-export,official-see-export/official-see-export.component.html,status,official-see-export/official-see-export.component.html,table-column:status,when-rows,read-only-display,n/a,—,cbam:view,POST …/official-see-export/executions; GET readiness|runs|download,status,n/a,CbamOfficialSeeExportService,—,DERIVED_STATUS,status,DERIVED_STATUS,ambiguous-column-multiple-tables,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,created,official-see-export/official-see-export.component.html,table-column:created,when-rows,read-only-display,n/a,datetime,cbam:view,n/a-ui-only,created,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,created,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,template,official-see-export/official-see-export.component.html,table-column:template,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,template,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,template,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,mapping,official-see-export/official-see-export.component.html,table-column:mapping,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,mapping,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,mapping,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,validation,official-see-export/official-see-export.component.html,table-column:validation,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,validation,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,validation,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,parity,official-see-export/official-see-export.component.html,table-column:parity,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,parity,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,parity,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,size,official-see-export/official-see-export.component.html,table-column:size,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,size,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,size,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,fileName,official-see-export/official-see-export.component.html,table-column:fileName,when-rows,read-only-display,n/a,—,cbam:view,POST …/official-see-export/executions; GET readiness|runs|download,fileName,CbamOfficialSeeExportArtifact ORM / API DTO,CbamOfficialSeeExportService,CbamOfficialSeeExportArtifact,cbam_official_see_export_artifacts,file_name,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/14-*.md
official-see-export,official-see-export/official-see-export.component.html,actions,official-see-export/official-see-export.component.html,table-column:actions,when-rows,read-only-display,n/a,—,cbam:view,n/a-ui-only,actions,n/a,CbamOfficialSeeExportService,—,NOT_PERSISTED,actions,NOT_PERSISTED,no-matching-column,none-or-row-version-conflict,user-guide/14-*.md
period-detail.component,period-detail.component.html,Installation,period-detail.component.html,formControlName=installationProfileId,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,GET …/reporting-period-bindings/{id}; period-scoped CRUD,installationProfileId,CbamProductionRecord ORM / API DTO,CbamPeriodWorkspaceServices,CbamProductionRecord,cbam_production_records,installation_profile_id,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
period-detail.component,period-detail.component.html,Product,period-detail.component.html,formControlName=productId,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,GET …/reporting-period-bindings/{id}; period-scoped CRUD,productId,n/a,CbamPeriodWorkspaceServices,—,NOT_PERSISTED,product_id,NOT_PERSISTED,ambiguous-column-multiple-tables,none-or-row-version-conflict,user-guide/README.md
period-detail.component,period-detail.component.html,Product profile,period-detail.component.html,formControlName=productProfileVersionId,template-present,editable-if-configure,optional/unknown,—,cbam:configure for writes / cbam:view for reads,GET …/reporting-period-bindings/{id}; period-scoped CRUD,productProfileVersionId,CbamProductionRecord ORM / API DTO,CbamPeriodWorkspaceServices,CbamProductionRecord,cbam_production_records,product_profile_version_id,USER_INPUT,server-schema,none-or-row-version-conflict,user-guide/README.md
